#Index    Time      Position      Velocity
0            0            1.00              1.00
1            1            2.00              2.50
2            2            4.50              0.42
3            3            4.92              -0.99
4            4            3.93              -1.43
5            5            2.49              -1.41
6            6            1.08              1.26
7            7            2.34              0.77
8            8            3.11              0.29
9            9            3.40              -3.06
